Device,G_Swap_Total,G_Swap_Free,G_Swap_Used,G_Proc_Run,G_Cpu_User,G_Cpu_Wio,G_Load_One,G_Load,G_Five,G_Load_Fifteen,G_Mem_Cached,G_Mem_Total,T_State,T_Slots,T_SlotsUsed,T_AvailMem(MB),T_TotalMem(MB)/Swap,T_Time_Last_Rec,T_LoadAve ,T_NetLoad(MB)
compute-13-25,10061.0,10003.37,57.63,3.0,62.9,0.7,2.24,2.03,3589568.0,8255316.0,481.606,432.357,2,4,4,14272.81,18122.83,24.07,2.20,1014693.66
compute-13-23,10061.0,10006.04,54.96,4.0,80.7,0.5,3.34,3.19,4668704.0,8255316.0,481.606,434.049,2,4,4,14971.49,18122.83,24.07,3.54,934112.67
compute-2-10,10061.0,9747.73,313.26,2.0,54.2,1.2,2.67,2.87,3353400.0,8255316.0,481.606,434.951,2,4,4,14299.24,18122.83,23.07,2.24,883958.99
compute-2-11,10061.0,9603.48,457.52,3.0,73.5,1.1,3.11,3.09,2996204.0,8255316.0,481.606,434.463,2,4,4,12750.96,18122.83,30.07,3.07,959252.51
compute-2-12,10061.0,9950.89,110.1,3.0,73.2,1.6,3.04,2.91,3901972.0,8255316.0,481.606,434.465,2,4,4,15154.48,18122.83,28.07,2.98,834211.65
compute-2-14,10061.0,10000.0,61.0,4.0,82.4,0.3,3.42,3.61,5595016.0,8255316.0,481.606,431.215,2,4,4,16038.64,18122.83,32.07,3.57,932472.83
compute-2-15,10061.0,9930.77,130.23,6.0,97.3,0.7,4.13,4.04,5753188.0,8255316.0,481.606,434.919,2,4,4,15850.85,18122.83,26.07,4.20,845947.63
compute-2-16,10061.0,9996.08,64.91,4.0,96.7,1.7,3.97,3.9,5236924.0,8255316.0,481.606,434.959,2,4,4,16002.01,18122.83,27.07,4.00,811086.61
compute-2-17,10061.0,9923.95,137.05,3.0,72.5,1.1,2.96,2.89,3700016.0,8255316.0,481.606,433.192,2,4,4,14245.58,18122.83,30.07,3.16,895893.97
compute-2-18,10061.0,9986.07,74.92,2.0,29.9,0.9,1.77,1.9,3256296.0,8255316.0,481.606,435.497,1,4,3,14078.21,18122.83,28.07,1.46,1731330.59
compute-14-40,10061.0,10008.79,52.21,5.0,97.2,0.0,3.74,3.37,4625568.0,8255316.0,481.606,434.251,2,4,4,14807.72,18122.83,32.07,4.23,832204.45
compute-2-8,10061.0,10008.77,52.22,4.0,90.3,0.6,3.79,3.62,4221672.0,8255316.0,481.606,435.006,2,4,4,15487.25,18122.83,30.07,4.16,957212.5
compute-2-9,10061.0,9993.16,67.84,4.0,97.1,1.1,3.96,3.83,3556700.0,8255316.0,481.606,435.408,2,4,4,15730.99,18122.83,30.07,4.15,814739.72
